season,winner_nation,winner_team,score,runner_nation,runner_team,venue,attendance,extra_time,penalty,replay
1955-56,ESP,Real Madrid,4-3,FRA,Reims,"Parc des Princes, Paris, France",38239,0,0,0
1956-57,ESP,Real Madrid,2-0,ITA,Fiorentina,"Santiago Bernabéu, Madrid, Spain",124000,0,0,0
1957-58,ESP,Real Madrid,3-2,ITA,Milan,"Heysel Stadium, Brussels, Belgium",67000,1,0,0
1958-59,ESP,Real Madrid,2-0,FRA,Reims,"Neckarstadion, Stuttgart, West Germany",72000,0,0,0
1959-60,ESP,Real Madrid,7-3,GER,Eintracht Frankfurt,"Hampden Park, Glasgow, Scotland",127621,0,0,0
1960-61,POR,Benfica,3-2,ESP,Barcelona,"Wankdorf Stadium, Bern, Switzerland",26732,0,0,0
1961-62,POR,Benfica,5-3,ESP,Real Madrid,"Olympisch Stadion, Amsterdam, Netherlands",61257,0,0,0
1962-63,ITA,Milan,2-1,POR,Benfica,"Wembley Stadium, London, England",45715,0,0,0
1963-64,ITA,Inter Milan,3-1,ESP,Real Madrid,"Praterstadion, Vienna, Austria",71333,0,0,0
1964-65,ITA,Inter Milan,1-0,POR,Benfica,"San Siro, Milan, Italy",89000,0,0,0
1965-66,ESP,Real Madrid,2-1,YUG,Partizan,"Heysel Stadium, Brussels, Belgium",46745,0,0,0
1966-67,SCO,Celtic,2-1,ITA,Inter Milan,"Estádio Nacional, Lisbon, Portugal",45000,0,0,0
1967-68,ENG,Manchester United,4-1,POR,Benfica,"Wembley Stadium, London, England",92225,1,0,0
1968-69,ITA,Milan,4-1,NED,Ajax,"Santiago Bernabéu, Madrid, Spain",31782,0,0,0
1969-70,NED,Feyenoord,2-1,SCO,Celtic,"San Siro, Milan, Italy",53187,1,0,0
1970-71,NED,Ajax,2-0,GRE,Panathinaikos,"Wembley Stadium, London, England",83179,0,0,0
1971-72,NED,Ajax,2-0,ITA,Inter Milan,"De Kuip, Rotterdam, Netherlands",61354,0,0,0
1972-73,NED,Ajax,1-0,ITA,Juventus,"Red Star Stadium, Belgrade, SFR Yugoslavia",89484,0,0,0
1973-74,GER,Bayern Munich,1-1,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium",48722,0,0,0
1973-74,GER,Bayern Munich,4-0,ESP,Atlético Madrid,"Heysel Stadium, Brussels, Belgium",23325,0,0,1
1974-75,GER,Bayern Munich,2-0,ENG,Leeds United,"Parc des Princes, Paris, France",48374,0,0,0
1975-76,GER,Bayern Munich,1-0,FRA,Saint-Étienne,"Hampden Park, Glasgow, Scotland",54864,0,0,0
1976-77,ENG,Liverpool,3-1,GER,Borussia Mönchengladbach,"Stadio Olimpico, Rome, Italy",57000,0,0,0
1977-78,ENG,Liverpool,1-0,BEL,Club Brugge,"Wembley Stadium, London, England",92500,0,0,0
1978-79,ENG,Nottingham Forest,1-0,SWE,Malmö FF,"Olympiastadion, Munich, West Germany",57500,0,0,0
1979-80,ENG,Nottingham Forest,1-0,GER,Hamburger SV,"Santiago Bernabéu, Madrid, Spain",51000,0,0,0
1980-81,ENG,Liverpool,1-0,ESP,Real Madrid,"Parc des Princes, Paris, France",48360,0,0,0
1981-82,ENG,Aston Villa,1-0,GER,Bayern Munich,"De Kuip, Rotterdam, Netherlands",46000,0,0,0
1982-83,GER,Hamburger SV,1-0,ITA,Juventus,"Olympic Stadium, Athens, Greece",73500,0,0,0
1983-84,ENG,Liverpool,1-1,ITA,Roma,"Stadio Olimpico, Rome, Italy",69693,0,1,0
1984-85,ITA,Juventus,1-0,ENG,Liverpool,"Heysel Stadium, Brussels, Belgium",58000,0,0,0
1985-86,ROU,Steaua Bucure?ti,0-0,ESP,Barcelona,"Ramón Sánchez Pizjuán, Seville, Spain",70000,0,1,0
1986-87,POR,Porto,2-1,GER,Bayern Munich,"Praterstadion, Vienna, Austria",57500,0,0,0
1987-88,NED,PSV Eindhoven,0-0,POR,Benfica,"Neckarstadion, Stuttgart, West Germany",68000,0,1,0
1988-89,ITA,Milan,4-0,ROU,Steaua Bucure?ti,"Camp Nou, Barcelona, Spain",97000,0,0,0
